,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),shipment_cost
1284,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-06-28,2007-06-28,2007-06-28,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,4000,164400.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,1015.0,3256.0,263.04,167919.04
1285,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2007-09-21,2007-09-21,2007-09-21,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,271,4593.45,16.95,0.19,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,7.35,10470.455
1286,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-09-10,2007-09-10,2007-09-10,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,4286,9214.9,2.15,0.01,"Aurobindo Unit III, India",No,1047.0,5869.655000000001,14.74,15099.295
1287,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,2007-11-13,2007-11-13,2007-11-13,ARV,Adult,SCMS from RDC,"Abacavir/Lamivudine/Zidovudine 300/150/300mg [Trizivir], tablets, 60 Tabs",Abacavir/Lamivudine/Zidovudine,Trizivir,300/150/300mg,Tablet - FDC,60,3300,146850.0,44.5,0.74,GSK Ware (UK),Yes,2143.0,10137.04,234.96,157222.0
1288,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2008-02-20,2008-02-20,2008-02-20,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,900,14400.0,16.0,0.18,"Aurobindo Unit III, India",Yes,109.0,919.66,23.04,15342.7
1289,Mozambique,PMO - US,From RDC,N/A - From RDC,Air,2007-09-21,2007-09-21,2007-09-21,ARV,Adult,SCMS from RDC,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,143,5485.48,38.36,0.11,ABBVIE (Abbott) Logis. UK,No,1047.0,5869.655000000001,8.78,11363.915
1290,Uganda,PMO - US,From RDC,N/A - From RDC,Air,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1859,6320.6,3.4,0.06,"Aurobindo Unit III, India",Yes,214.0,891.0,10.11,7221.71
1291,Zambia,PMO - US,From RDC,N/A - From RDC,Air,2007-09-12,2007-09-12,2007-09-12,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,1064,17024.0,16.0,0.18,"Aurobindo Unit III, India",Yes,128.0,944.21,27.24,17995.45
1292,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,2008-02-05,2008-02-05,2008-02-05,ARV,Adult,SCMS from RDC,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,10000,81500.0,8.15,0.14,"Aurobindo Unit III, India",Yes,574.0,3787.32,130.4,85417.72
1293,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,2008-11-17,2008-11-17,2008-11-17,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,10000,262500.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,878.0,4401.4,514.5,267415.9
